Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
5a95774f2f391fbcdcd5cfe2a1f4767c	d__Bacteria	 p__Myxococcota	 c__Myxococcia	 o__Myxococcales	 f__Myxococcaceae	 g__P3OB-42	 s__uncultured_bacterium
08b3cf1b02258556e070392698dbb198	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	
5ca89b784eb626f0df17c673e0e5b5c4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__1174-901-12	
568fca7529bfd06f9aff8b6d7ab68930	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae		
46f388b44abed0142599b7d4882677bf	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Marmoricola	 s__uncultured_bacterium
6fcdb4a76497dfd0442708951916ffbb	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__Methylobacterium-Methylorubrum	
4a660fc25e66a910ce9e533f124dd668	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
64bc1c6433c1609714689543b30941b9	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
4da73f0f7c5eed8d31bbc0d4e1a2ddbb	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__Acidibacter	
c843bd3f322def1ed1acb875641ce4f8	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	
668548b128c37cf2a107dbecd9715a50	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae		
4eaeb6914375080ee1656e93a15012e5	d__Bacteria	 p__Methylomirabilota	 c__Methylomirabilia	 o__Rokubacteriales	 f__Rokubacteriales	 g__Rokubacteriales	 s__uncultured_bacterium
08d954669a972ff091fc61daaed94078	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__1174-901-12	
e556e260b7c7350bdf43a77b35330763	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__1174-901-12	 s__uncultured_bacterium
0fed2ffcc46b02b04fce9e3c0cb03e26	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae		
bc83125172f73dc1c9ccaf076e6f93ef	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Solibacterales	 f__Solibacteraceae	 g__Candidatus_Solibacter	 s__uncultured_bacterium
b78a421109fea95f9be9853093ad620a	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_(Subgroup_1)	 g__Granulicella	
c91b9a07b70eae44781d69ea9ea90b27	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Novosphingobium	
e00c6a10f5a3a7d1a5354d2124a399cf	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__Conexibacter	 s__uncultured_bacterium
83a1e7e0cd8ec14aba71380a0e83f299	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
5ea4209737ed3b0557c4bbaae37e01ae	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae		
bc33d1c387b9116d6e2a498fbcd617bf	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Frankiales	 f__Acidothermaceae	 g__Acidothermus	
b4886421dddb7906428b7c87248fd0f1	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Catenulisporales	 f__Catenulisporaceae	 g__Catenulispora	 s__Catenulispora_acidiphila
2beac040088f5f6ced851364bf9bf104	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
52b31aec13ea7e8b5dc5bd358c71c5b1	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae		
22fb07139f67fdc86809d831ec1f40c8	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae		
a9b19144f3745a374f27fc1986561b06	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__uncultured	
4b459db83bc54f246f4b390d25165f40	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Paenibacillus	
e04bccf6d2ff7ac836eb2c6a9f0071df	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	
ccf8f1d72006b307685e6b614d2bef02	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__Solirubrobacter	
52c1af34abbc287323d561df3fdf9662	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Lachnospirales	 f__Lachnospiraceae	 g__Tyzzerella	 s__uncultured_Eubacteriaceae
a36f3c9cb4d40c7cdec837711dcee317	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Sphingobacterium	 s__Sphingobacterium_thermophilum
0520eef929904f007dcca29377101bd8	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__uncultured_bacterium
5d728f5fa9d4931b185700be2fcc1ed9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Acidisoma	
8e7818e2fbb04f09652fe7eb187ab6ad	d__Bacteria	 p__Chloroflexi	 c__Ktedonobacteria	 o__Ktedonobacterales	 f__Ktedonobacteraceae	 g__uncultured	 s__uncultured_bacterium
4b0d6f19d6a10ddb4f8982e2e3a658a1	d__Bacteria	 p__Chloroflexi	 c__Ktedonobacteria	 o__Ktedonobacterales	 f__JG30-KF-AS9	 g__JG30-KF-AS9	 s__uncultured_bacterium
2cbdcff16a71db5cea8faf2d0e8efc7c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__1174-901-12	 s__Rhizobiales_bacterium
1f173c3f545f6bae62b6d9975a5e2447	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Clostridium_sensu_stricto_1	 s__uncultured_bacterium
1d386c7c1adaf48804e38e71f2ba61b9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Aureimonas	 s__uncultured_bacterium
3c5115cf647c8f7f68d6a36d42e7dfa0	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	
382a3bf481c5fbaac3452583c077afbf	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Oscillospirales			
a69e25461411d6ac57e7f20581409c9b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__uncultured	 s__uncultured_bacterium
fb9ea62f3aaa49274cc2f7926149434c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria	
b58f41a9dde651a543b76c42a06595e7	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Nocardiaceae	 g__Williamsia	
0a5359409a0c431ffd7719feded861b0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__1174-901-12	 s__uncultured_bacterium
d0c5df8dde72188471e12cec19761266	d__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__Oligoflexales	 f__uncultured	 g__uncultured	
332259fba402f6a1f5cc9e27ee08cc9d	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__env.OPS_17	 g__env.OPS_17	
9ed788c808dba4d9d89b6c2a14ea011d	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Haliangiales	 f__Haliangiaceae	 g__Haliangium	
6da5a55ebaed9224ecb1f84679f4f464	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__Microvirga	
